iter	Passed	Remaining
0	120	120096
1	120	60296
2	121	40367
3	121	30367
4	122	24398
5	123	20525
6	124	17688
7	125	15538
8	125	13863
9	126	12519
10	126	11417
11	127	10497
12	128	9728
13	128	9057
14	129	8512
15	130	8013
16	130	7567
17	131	7177
18	132	6827
19	132	6509
20	133	6226
21	134	5967
22	135	5735
23	135	5520
24	136	5319
25	137	5132
26	137	4956
27	138	4796
28	138	4645
29	139	4507
30	139	4373
31	140	4246
32	141	4136
33	141	4026
34	142	3925
35	142	3826
36	143	3731
37	143	3643
38	144	3560
39	144	3479
40	145	3403
41	146	3332
42	147	3274
43	147	3210
44	148	3148
45	148	3088
46	149	3028
47	149	2972
48	150	2918
49	150	2867
50	151	2816
51	151	2768
52	152	2721
53	153	2684
54	153	2643
55	154	2601
56	154	2561
57	155	2523
58	155	2486
59	156	2450
60	156	2415
61	157	2381
62	157	2348
63	158	2316
64	159	2289
65	159	2261
66	160	2232
67	160	2204
68	161	2176
69	161	2149
70	162	2122
71	162	2098
72	163	2073
73	163	2049
74	164	2025
75	164	2004
76	165	1983
77	166	1963
78	166	1943
79	167	1923
80	167	1904
81	168	1884
82	168	1862
83	169	1843
84	169	1825
85	170	1807
86	170	1790
87	171	1775
88	171	1760
89	172	1743
90	172	1727
91	173	1717
92	174	1702
93	175	1688
94	175	1674
95	176	1660
96	176	1645
97	177	1634
98	178	1621
99	178	1608
100	179	1596
101	179	1583
102	180	1570
103	180	1558
104	181	1545
105	181	1533
106	182	1521
107	182	1509
108	183	1500
109	184	1491
110	184	1480
111	185	1469
112	185	1458
113	186	1448
114	186	1437
115	187	1427
116	187	1416
117	188	1406
118	188	1396
119	189	1386
120	189	1379
121	190	1370
122	190	1361
123	191	1352
124	191	1343
125	192	1335
126	193	1326
127	193	1318
128	194	1311
129	194	1304
130	195	1299
131	196	1293
132	197	1286
133	198	1280
134	198	1273
135	199	1267
136	199	1259
137	200	1252
138	201	1245
139	201	1238
140	202	1233
